,country,count,lat,log
0,Afghanistan,263,33,65
1,Algeria,4,28,3
2,Angola,6,-12.5,18.5
3,Antarctica,4,-90,0
4,Argentina,22,-34,-64
5,Armenia,36,40,45
6,Australia,194,-37.8167,144.967
7,Azerbaijan,24,40.5,47.5
8,Bahrain,12,26,50.55
9,Bangladesh,16,24,90
10,Barbados,4,13.1667,-59.5333
11,Belgium,53,50.4833,4.66667
12,Benin,3,6.35,2.43333
13,Bermuda,6,32.3333,-64.75
14,Bolivia,36,-17,-65
15,Brazil,108,-26.2167,-48.8333
16,Bulgaria,2,43,25
17,Burundi,12,-3.5,30
18,Cambodia,25,13,105
19,Cameroon,2,6,12
20,Canada,72,48.75,-64.5833
21,Chile,32,-30,-71
22,China,616,22.5978,107.567
23,Colombia,16,2.69111,-75.5531
24,Costa Rica,12,10,-84
25,Croatia,13,45.1667,15.5
26,Cuba,270,20.55,-75.9167
27,Cyprus,10,35,33
28,Denmark,8,55.65,12.0833
29,Djibouti,7,11.5,43
30,Ecuador,15,-2.16667,-79.9
31,Egypt,54,27,30
32,El Salvador,4,13.8333,-88.9167
33,England,264,50.65,-2.46667
34,Estonia,8,59,26
35,Ethiopia,4,8,38
36,European Union,20,47,8
37,Finland,6,64,26
38,France,186,43.6667,-1.45
39,Gambia,6,13.4667,-16.5667
40,Georgia,72,42,43.5
41,Germany,255,51,9
42,Ghana,8,8,-2
43,Great Britain,4,54,-2
44,Greece,47,37.9833,23.7333
45,Greenland,24,72,-40
46,Guam,6,13.4667,144.783
47,Guatemala,21,14.6211,-90.5269
48,Guinea,2,11,-10
49,Haiti,38,19,-72.4167
50,Honduras,4,15,-86.5
51,Hong Kong,90,22.25,114.167
52,Hungary,43,47,20
53,Iceland,28,65,-18
54,India,335,20,77
55,Indonesia,47,-7.44917,110.282
56,Iran,155,27.4586,55.4756
57,Iraq,717,33,44
58,Ireland,112,52.3342,-6.4575
59,Israel,705,31.5,34.75
60,Italy,75,38.1833,15.5667
61,JAPAN,2,36,138
62,Jamaica,42,18.25,-77.5
63,Japan,169,26.3358,127.801
64,Jordan,35,31,36
65,Kazakhstan,6,48,68
66,Kenya,20,-2.98333,38.4667
67,Kuwait,42,29.3375,47.6581
68,Laos,4,18,105
69,Latvia,10,57,25
70,Lebanon,47,33.8333,35.8333
71,Libya,68,25,17
72,Liechtenstein,2,47.1667,9.5333
73,Lithuania,10,56,24
74,Luxembourg,11,49.6117,6.13
75,Macau,2,22.1667,113.55
76,Macedonia,4,41.8333,22
77,Malaysia,29,2.5,112.5
78,Maldives,12,3.25,73
79,Mali,10,17,-4
80,Malta,71,35.8333,14.5833
81,Mexico,187,15.2333,-92.65
82,Moldova,2,47,29
83,Mongolia,2,46,105
84,Morocco,12,32,-5
85,Myanmar,8,22,98
86,Nauru,72,-0.5333,166.917
87,Nepal,32,27.7167,85.3167
88,Netherlands,41,51.65,3.93333
89,New Zealand,82,-41,174
90,Niger,2,16,8
91,Nigeria,29,10,8
92,North Korea,145,39.0194,125.755
93,Norway,22,62,10
94,Oman,8,21,57
95,Pakistan,123,30,70
96,Panama,84,7.73333,-80.8167
97,Paraguay,18,-25.2667,-57.6667
98,Peru,12,-10,-76
99,Poland,62,52,20
100,Portugal,12,39.5,-8
101,Puerto Rico,10,18.25,-66.5
102,Qatar,30,25.5,51.25
103,Romania,17,44.4689,22.6672
104,Russia,269,43.3103,44.0842
105,Saudi Arabia,125,24.6408,46.7728
106,Scotland,59,50.8333,-0.15
107,Senegal,4,14,-14
108,Serbia,10,42.3092,21.6492
109,Seychelles,2,-4.5833,55.6667
110,Sierra Leone,12,8.5,-11.5
111,Singapore,16,1.3667,103.8
112,Slovenia,20,46,15
113,Somalia,14,-0.366667,42.5333
114,South Africa,31,-30.7833,28.5833
115,South Korea,122,37,127.5
116,Spain,107,40,-4
117,Sudan,44,15,30
118,Sweden,18,62,15
119,Switzerland,30,46.0167,7.75
120,Taiwan,44,23.0333,121.283
121,Taiwan-China,2,32.325,118.762
122,Tajikistan,10,39,71
123,Tanzania,38,-6,35
124,Thailand,58,13.75,100.517
125,Tokelau,12,-9,-172
126,Tunisia,97,34,9
127,Turkey,140,37.0594,37.3825
128,UK,9,54,-2
129,Ukraine,90,49,32
130,United States,634,13.4586,144.787
131,Uruguay,10,-33,-56
132,Uzbekistan,2,41,64
133,Vatican,10,41.9,12.45
134,Venezuela,10,7.68389,-72.3631
135,Wales,8,54,-2
136,Yemen,71,15,48
137,Zimbabwe,8,-20,30
