,country,count,lat,log
0,Afghanistan,2,33.0,65.0
1,Australia,24,-27.0,133.0
2,"BEIJING,China",2,39.8825,123.912
3,Bangladesh,2,24.0,90.0
4,"Beijing,China",4,39.8825,123.912
5,Belgium,6,50.8333,4.0
6,Brazil,6,-21.1333,-56.7
7,Canada,36,60.0,-95.0
8,Chile,2,-30.0,-71.0
9,China,188,35.0,105.0
10,"Copenhagen,Denmark",2,55.6667,12.5833
11,Cuba,131,21.5,-80.0
12,Cyprus,2,35.0,33.0
13,"Dauphin,Canada",2,51.15,-100.05
14,Denmark,8,56.0,10.0
15,Egypt,6,27.0,30.0
16,England,13,54.0,-2.0
17,"FRANKFURT,Germany",2,49.6833,10.5333
18,Finland,12,64.0,26.0
19,France,17,44.6333,0.45
20,Georgia,24,42.0,43.5
21,Germany,20,51.0,9.0
22,"Havana,Cuba",6,23.1319,-82.3642
23,Hong Kong,33,22.25,114.167
24,India,24,20.0,77.0
25,Indonesia,14,-5.0,120.0
26,Iran,6,32.0,53.0
27,Iraq,12,33.0,44.0
28,Ireland,4,53.0,-8.0
29,Israel,4,31.5,34.75
30,Italy,16,42.8333,12.8333
31,"JAKARTA,Indonesia",2,-6.17444,106.829
32,Japan,17,27.3333,128.567
33,Jordan,2,31.0,36.0
34,Liberia,2,6.5,-9.5
35,"London,England",2,51.5,-0.116667
36,"MIAMI,United States",2,33.3992,-110.868
37,Macau,12,22.1667,113.55
38,Malaysia,4,2.5,112.5
39,"Manhattan,United States",2,27.5072,-82.3189
40,Mexico,14,16.3333,-94.3167
41,Netherlands,4,52.5,5.75
42,New Zealand,8,-41.0,174.0
43,North Korea,6,40.0,127.0
44,"Paris,France",2,48.8667,2.33333
45,"Perth,Australia",2,-41.5667,147.167
46,Poland,2,52.0,20.0
47,Puerto Rico,4,18.25,-66.5
48,Russia,15,54.4,112.483
49,Saudi Arabia,2,25.0,45.0
50,"Shanghai,China",2,31.005,121.409
51,Singapore,6,1.29306,103.856
52,South Africa,6,-29.5833,31.1333
53,South Korea,8,37.0,127.5
54,Spain,6,40.0,-4.0
55,Switzerland,2,47.0,8.0
56,"Sydney,Australia",2,-33.8833,151.217
57,Taiwan,2,23.5,121.0
58,Turkey,2,39.0,35.0
59,Ukraine,4,49.0,32.0
60,United States,76,29.7797,-91.7461
61,"Utah,United States",2,40.9842,-90.4878
62,"Varadero,Cuba",2,23.1536,-81.2514
63,"Vargas,Cuba",2,22.85,-82.5833
64,Wales,4,51.5,-0.116667
65,"Washington,United States",4,33.7739,-93.6825
66,"Winnipeg,Canada",2,49.8833,-97.1667
67,Yemen,2,15.0,48.0
