,country,count,lat,log
0,Afghanistan,259,33.0,65.0
1,Algeria,4,28.0,3.0
2,Angola,6,-12.5,18.5
3,Antarctica,4,-90.0,0.0
4,Argentina,22,-34.0,-64.0
5,Armenia,36,40.0,45.0
6,Asuncion:Paraguay,2,-25.2667,-57.6667
7,Australia,189,-37.8167,144.967
8,Azerbaijan,24,40.5,47.5
9,Bahrain,12,26.0,50.55
10,Bangkok:Thailand,2,13.75,100.517
11,Bangladesh,16,24.0,90.0
12,Barbados,4,13.1667,-59.5333
13,Bashar:Russia,2,58.0003,50.5869
14,Belgium,51,50.4833,4.66667
15,Benin,3,6.35,2.43333
16,Berlin:Germany,2,54.0333,10.45
17,Bermuda,6,32.3333,-64.75
18,Bolivia,36,-17.0,-65.0
19,Brasilia:Brazil,2,-11.0,-68.7333
20,Brazil,105,-26.2167,-48.8333
21,Brighton:Scotland,2,50.8333,-0.15
22,Brisbane:Australia,2,-27.5,153.017
23,Bulgaria,2,43.0,25.0
24,Burundi,12,-3.5,30.0
25,Cambodia,25,13.0,105.0
26,Cameroon,2,6.0,12.0
27,Canada,72,48.75,-64.5833
28,Carolina:United States,2,31.2406,-86.5278
29,Chelsea:England,6,51.4833,-0.183333
30,Chile,32,-30.0,-71.0
31,China,615,22.5978,107.567
32,Colombia,16,2.69111,-75.5531
33,Costa Rica,12,10.0,-84.0
34,Croatia,13,45.1667,15.5
35,Cuba,269,20.55,-75.9167
36,Cyprus,10,35.0,33.0
37,Denmark,8,55.65,12.0833
38,Djibouti,7,11.5,43.0
39,Drumnadrochit:England,2,57.3333,-4.48333
40,Dublin:Ireland,2,53.3331,-6.24889
41,Durham:England,2,54.7667,-1.56667
42,Ecuador,15,-2.16667,-79.9
43,Egypt,52,27.0,30.0
44,El Salvador,4,13.8333,-88.9167
45,Elton:England,2,53.2667,-2.81667
46,England,256,50.65,-2.46667
47,Estonia,8,59.0,26.0
48,Ethiopia,4,8.0,38.0
49,European Union,20,47.0,8.0
50,Everton:England,2,52.1333,-0.233333
51,Finland,6,64.0,26.0
52,Florida:United States,2,37.215,-107.752
53,France,184,43.6667,-1.45
54,Gambia,6,13.4667,-16.5667
55,Georgia,72,42.0,43.5
56,Germany,253,51.0,9.0
57,Ghana,8,8.0,-2.0
58,Great Britain,4,54.0,-2.0
59,Greece,47,37.9833,23.7333
60,Greenland,24,72.0,-40.0
61,Guam,6,13.4667,144.783
62,Guatemala,21,14.6211,-90.5269
63,Guinea,2,11.0,-10.0
64,Haiti,38,19.0,-72.4167
65,Havana:Cuba,2,23.1319,-82.3642
66,Honduras,4,15.0,-86.5
67,Hong Kong,90,22.25,114.167
68,Hungary,43,47.0,20.0
69,Iceland,28,65.0,-18.0
70,India,335,20.0,77.0
71,Indiana:United States,2,41.2044,-93.025
72,Indonesia,47,-7.44917,110.282
73,Iran,155,27.4586,55.4756
74,Iraq,715,33.0,44.0
75,Ireland,107,52.3342,-6.4575
76,Israel,703,31.5,34.75
77,Italy,70,38.1833,15.5667
78,JAPAN,2,36.0,138.0
79,Jamaica,42,18.25,-77.5
80,Japan,168,26.3358,127.801
81,Jerusalem:Israel,2,31.78,35.23
82,Jordan,35,31.0,36.0
83,Kazakhstan,6,48.0,68.0
84,Kenya,20,-2.98333,38.4667
85,Kuwait,42,29.3375,47.6581
86,Laos,4,18.0,105.0
87,Latvia,10,57.0,25.0
88,Lebanon,47,33.8333,35.8333
89,Leipzig:Germany,2,51.3,12.3333
90,Libya,68,25.0,17.0
91,Liechtenstein,2,47.1667,9.5333
92,Lige:Belgium,4,50.6333,5.56667
