"","Text","Types","Tokens","Sentences","content"
"1","'Brain Prize' for UK research on memory mechanisms.txt",298,669,29,"Image copyright Science Photo Library Image caption When a connection between two nerve cells is busy, it gets stronger

Three British researchers have won a prize worth one million euros, awarded each year for an ""outstanding contribution to European neuroscience"".

Tim Bliss, Graham Collingridge and Richard Morris revealed how strengthened connections between brain cells can store our memories.

Our present understanding of memory is built on their work, which unpicked the mechanisms and molecules involved.

This is the first time the Brain Prize has been won by an entirely UK team.

It is awarded by a Danish charitable foundation and the 2016 winners were announced in London on Tuesday.

Speaking to journalists at a media conference, Prof Morris explained it was the ""chemistry of memory"" that he and his colleagues had managed to illuminate.

Fire together, wire together

""Before this team got going, we had some idea about particular areas of the brain that might be involved in memory but what we didn't have was any real understanding of how it worked,"" explained the professor, who works at the University of Edinburgh.

The ""team"" of three winners never worked together in the same laboratory, but they have collaborated over the years.

Image copyright PA Image caption Prof Bliss (L) and Prof Morris spoke at a media conference, where the mood was celebratory

""Memories change the brain - the brain is plastic,"" said Prof Bliss, who worked for many years at the National Institute of Medical Research in London and is now affiliated with the Francis Crick Institute.

Those changes occur at the junctions between nerve cells - synapses - and were described in a pioneering study by Bliss and a Norwegian colleague, Terje Lmo, in the 1970s.

They recorded brain cells in anaesthetised rabbits and found that repeatedly stimulating two connected neurons caused their connection to get stronger.

""If nerve cell A is connected to nerve cell B, and A takes part in firing B, then the synapse - the connection between A and B - will be strengthened,"" Prof Bliss explained.

I immediately recognised that this was a phenomenally interesting property... and decided that this was going to be my career Prof Graham Collingridge, University of Bristol

This paradigm, sometimes summarised as ""neurons that fire together, wire together"", was suggested by the Canadian psychologist Donald Hebb in the 1940s, but Bliss and Lmo were the first to glimpse it happening inside the brain.

Subsequently, Prof Collingridge - a researcher at the University of Bristol - worked on finding the specific molecules responsible.

Currently working at the University of Toronto in Canada, he spoke to journalists by telephone and paid tribute to the original Bliss and Lmo study.

Their paper was an inspiration to him as a young researcher, Prof Collingridge said.

""I immediately recognised that this was a phenomenally interesting property, which gave us the opportunity to understand the mechanisms of learning and memory in the brain - and decided that this was going to be my career.""

Finally, it was Prof Morris who demonstrated that the molecular systems identified by Prof Collingridge and his colleagues were, in fact, crucial for memories to form.

If those systems are disrupted, for example, rats and mice have difficulty learning to navigate a new environment.

Image copyright Science Photo Library Image caption The most critical connections are made in part of the brain called the hippocampus

The Brain Prize is awarded by the Grete Lundbeck European Brain Research Foundation, based in Copenhagen; a committee of eight neuroscientists makes the decision.

Billed as ""the world's most valuable prize for brain research"", its one million-euro value - to be shared by the three winners - marginally exceeds that of the biennial US $1m neuroscience prize awarded by the Kavli Foundation.

It will be presented in Copenhagen on 1 July by Denmark's Crown Prince Frederik.

The first British winner was geneticist Prof Karen Steel of King's College London, who shared the prize in 2012 for her work on deafness; Cambridge psychologist Trevor Robbins was one of three recipients in 2014.

Follow Jonathan on Twitter"
"2","'Meteor' sightings caught on dashcams in Aberdeenshire.txt",98,134,5,"There has been a spate of sightings of a suspected meteor over Scotland on Monday evening.

Video footage shows a bright flash in the sky over the north east of the country about 18:45.

The event has yet to be confirmed as a meteor but eyewitnesses reported seeing a blue, white or green light, with some saying they also heard a rumbling sound.

Footage shown was captured by driving instructor Bill Addison from Buckie; Craig Lindsay's security camera in Woodend, Lumphanan; Mike Fleming who was driving from Dunecht to Castle Fraser; Jenni Morrison who was on the A944 between Westhill and Alford; and Dee Scholes who was in the area between Glenlivet and Tomintoul.

Ross Stewart was in a helicopter on his way home from an oil rig when he saw the lights."
"3","$29 Million That Should Be Spent On 'Jihad'.txt",353,804,38,"Osama Bin Laden's Will: $29 Million That Should Be Spent On 'Jihad'

i toggle caption Rahimullah Yousafzai/AP Rahimullah Yousafzai/AP

A handwritten will by Osama bin Laden said he had a fortune of ""about 29 million dollars"" and that most of it should be spent ""on Jihad,"" according to documents released by the U.S. government on Tuesday.

The will was among more than 100 documents made public by the Office of the Director of National Intelligence. The materials were captured when Navy SEALs killed the al-Qaida leader in a May 1, 2011, raid on his compound in Abbottabad, Pakistan. This is the second batch of documents that has been made public. The first was released last May.

Many more documents were seized but have not been declassified and released.

The will was undated, but bin Laden said the money was in Sudan, where he lived for several years in the 1990s. He left Sudan for Afghanistan in 1996, just before the Taliban seized control of the country and welcomed him.

""I hope, for my brothers, sisters, and maternal aunts, to obey my will and to spend all the money that I have left in Sudan on Jihad, for the sake of Allah,"" bin Laden wrote. In the will, he also specified smaller sums for relatives and associates.

Media reports over the years have said that bin Laden was not able to take his fortune with him from Sudan. The will also refers to the Afghan cities of Jalalabad and Kandahar, where bin Laden and al-Qaida operated in the years leading up to the Sept. 11, 2001, attacks in the U.S.

Senior U.S. intelligence officials believe bin Laden's will dates to the 1990s. It was not clear how much money he had at the time of his death or what happened to it.

Bin Laden's wealth came from his father, who ran the most prominent construction company in Saudi Arabia for many years.

A Hands-On Leader

Most of the documents released Tuesday were from the final years of bin Laden's life and show a leader attempting to actively manage al-Qaida. One of his top priorities in his final days was exploiting the looming 10th anniversary of the Sept. 11 attacks.

In contrast, U.S. officials frequently referred to bin Laden as ""hiding in a cave"" and cut off from the world.

The bin Laden materials reveal the constant tension between his desire to micromanage the group's day-to-day operations and his fears that he might be detected by sending directives to al-Qaida operatives scattered across many countries.

He was obsessed with secrecy and security and worried he could be killed at any moment. But he also took time to boast that he was able to evade U.S. detection for so long.

""Here we are in the tenth year of the war, and America and its allies are still chasing a mirage, lost at sea without a beach,"" he wrote in a letter that was undated, but apparently written in the final year of his life.

Here are some of highlights from the documents:

 He urged his group to gradually step up pressure on Iran, which kept some al-Qaida figures under house arrest after the 2001 attacks in the U.S., while allowing others to move around freely. His family members were also held in Iran. In one letter, he wrote:

""We asked several times that they be let go so that they could go to Pakistan. Tehran did not respond to that, so maybe you could attempt to work on releasing them to the Waziristan area of Pakistan, where we can make sure they are all right there with these tribes,"" bin Laden wrote.

 He warned one of his wives, Khairah, that a bugging or tracking device could be installed in her mouth when she was receiving a dental filling in Iran, where she was under house arrest.

""Please let me know in detail about anything that bothers you about any hospital in Iran or any suspicions that any of the brothers may have about chips planted in any way,"" he wrote. ""One of the ways, the syringe can be of the same size, but its head is slightly bigger than normal, that way, as I previously mentioned to you, they can insert a small chip in it to implant under the skin. The size of the chip is about the length of a grain of wheat and the width of a fine piece of vermicelli.""

 Bin Laden told a leader of al-Shabab, the radical Islamist group in Somalia, to attack French targets if Americans were not available. In addition, the group should execute a French hostage just before the country's national elections in 2012, an attempt to harm Nicolas Sarkozy, the president at the time. The group did seize French hostages, but did not execute them."
"4","$59 billion Dell-EMC deal is on track, says Michael Dell.txt",103,148,9,"Michael Dell says his historic $59 billion acquisition of storage vendor EMC Corp. is moving forward despite turmoil in the public markets.

Dell said in a memo sent to Dell employees on Tuesday that EMC EMC, +0.34% shareholders are on track to vote on the deal later in the spring.

The transaction is on schedule under the original timetable and the original terms, he wrote. We recently received antitrust clearance from the United States and European Union, and are starting to see other countries provide approvals as well.

Dells memo also outlined the management structure of the combined companies. EMC executive David Goulden will be in charge of the Enterprise Systems Group. Dells Jeff Clarke will remain in charge of the PC business, and Marius Haas, another Dell executive, will be president and chief commercial officer.

An expanded version of this report appears on WSJ.com.

More from MarketWatch"
"5","13ft Welsh dragon bursts from banks at Caerphilly Castle.txt",100,126,5,"People in Caerphilly awoke to find the mythical Welsh dragon bursting from the town's castle banks on St David's Day.

The four-metre (13ft) long attraction, with black and red scales and smoke-flaring nostrils, was created by Cardiff-based prop design company, Wild Creations.

It marked the launch of a campaign by Wales' historical heritage body, Cadw, to bring to life never-seen-before events at its sites.

Deputy Minister for Culture, Sport and Tourism, Ken Skates, said: ""Dragons feature in many of Wales' great myths and legends and it is stories like these that make our country's heritage so unique.""

A time-lapse video showed the dragon being made by Wild Creations - the firm that embedded a giant rugby ball in Cardiff Castle's walls during last year's Rugby World Cup."
"6","Adafruits Top 10 Blog Posts of February 2016 #StateOfTheFruit #AdafruitTopTen  Adafruit Industries  Makers, hackers, artists, designers and engineers!.txt",135,192,29,"March 1, 2016 AT 12:30 pm Adafruits Top 10 Blog Posts of February 2016 #StateOfTheFruit #AdafruitTopTen

Heres the top ten most popular posts of February 2016!

1. Electronics and Arduino Reference Cards to Print and Share

2. #3DPrinted Solenoid V8 Engine

3. Exclusive interview with Fred Dart  CEO of FTDI @FTDIChip #FTDI @adafruit

4. Raspberry Pi 3 is here! @raspberry_pi #RaspberryPi #Pi3

5. Happy 4th Birthday, Raspberry Pi! #RaspberryPi @Raspberry_Pi

6. Watch this robot solve a Rubiks Cube in about a second #robotics

7. How to add a low profile wifi board to a Raspbery Pi Zero #piday #raspberrypi @Raspberry_Pi

8. Cats and the Fibonacci Sequence

9. Tsunago: the pencil sharpener that creates a never-ending pencil

10. Use a Raspberry Pi to remotely watch your home #piday #raspberrypi @Raspberry_Pi

Check out all the Circuit Playground Episodes! Our new kids show and subscribe!

Have an amazing project to share? Join the SHOW-AND-TELL every Wednesday night at 7:30pm ET on Google+ Hangouts.

Join us every Wednesday night at 8pm ET for Ask an Engineer!

Learn resistor values with Mhos Resistance or get the best electronics calculator for engineers Circuit Playground  Adafruits Apps!"
"7","After suspected drug overdose deaths, Fairplex has no plans to host raves in 2016.txt",417,883,42,"Seven months after two young women died of suspected drug overdoses after attending a rave concert at the fairgrounds, a spokeswoman for the Los Angeles County Fair Assn. said Tuesday that the group is not planning to host raves this year.

We are not looking to host [electronic dance music] concerts or related events in 2016, association spokeswoman Renee Hernandez said in an email to The Times, responding to a question. She did not immediately answer a follow-up question as to why the decision was made.

The statement comes as the association has come under increasing scrutiny over the raves sponsored by concert promoter Live Nation Entertainment.

The Los Angeles County coroner has ruled that the death of UCLA student Tracy Nguyen, 18, was caused by an overdose of the illegal drug Ecstasy. Officials have not ruled on the cause of death for Cal State Channel Islands student Katie Dix, 19.

Critics of the raves at the county fairgrounds in Pomona, also known as the Fairplex, welcomed the decision.

This is a right step in the right direction, said Mario Ramos, a member of the group Protect Our Neighborhood, formed to oppose the raves after they arrived at the Fairplex in 2014. I just wish they made this decision a year and a half ago, prior to the deaths of the two women.

Judy St. John, a retired teacher who lives near the Fairplex, said raves should not return.

What about next year? she asked. It shouldn't be just for the rest of the year, it should be no more, ever.

A suspension of raves would mark a major reversal for the nonprofit that runs the fairgrounds on county-owned land.

In its 2014 annual report, the association touted its partnership with Live Nation and its Hard electronic dance music festival brand as introducing the campus to a new audience and strengthening our claim as a popular SoCal entertainment destination.

Representatives of Live Nation did not respond to requests for comment or to questions on where Hard Summer or Hard Day of the Dead will be held this year.

Drug overdoses have been a major problem at electronic dance music festivals, where the use of Ecstasy and similar substances is closely tied to the rave experience.

Hospitals that treated ravegoers

After the deaths of the two rave participants last summer, county Supervisor Michael D. Antonovich called the rave operator irresponsible and said, If raves are only going to exist when drugs and alcohol are available, then they are no longer welcome in Los Angeles County's facilities. Supervisor Hilda Solis said, No one should have to lose their life by attending a music event at one of our facilities.

Last summer, 49 people at the Aug. 1-2 Hard Summer music festival had to be transported to emergency rooms by ambulance. Officials say that is a big number and highly unusual for a single event.

There have now been at least 21 confirmed drug-related deaths among people who went to raves nationwide by Los Angeles-area companies since 2006. Ten have died in Southern California, and five in the Las Vegas area.

The announcement that the fairgrounds operator was not looking to hold raves in 2016 came moments after the Board of Supervisors signaled its intent Tuesday to regulate gatherings of more than 10,000 people on county-owned land, which would cover raves at the Fairplex.

The supervisors said the county should have the authority to make certain demands of operators of large events, such as ordering additional security and requiring more first-aid stations. Failure to meet the county's demands could result in an event not being allowed, the county counsel said.

Under the unanimous vote Tuesday, the supervisors directed county lawyers to draft an ordinance outlining these rules. A similar law is in place for state agencies.

The ordinance falls short of what the state-run Cow Palace near San Francisco opted to do in 2010: stop hosting raves, after that venue saw numerous drug-related overdoses and deaths.

Raves stopped being held at the Los Angeles Memorial Coliseum and Sports Arena in 2011, months after a 15-year-old girl who attended a rave died of an Ecstasy overdose.

Ecstasy can cause fatalities because it can trigger a sharp increase in body temperature to as high as 109 degrees  high enough to cause organ failure. Ravegoers are often told to drink plenty of water, but some drink too much, which can cause sodium levels to crash and trigger a seizure that makes it hard to breathe, leaving some people to fall into fatal comas.

The drug can also cause the breakdown of muscle into a chemical that damages the kidneys, which can be deadly.

Doctors have said overdosing ravegoers have come into the emergency room with convulsions and heart attacks, leaving some who survived with brain damage as well as impaired speech and walking ability.

The fair association has also been criticized by elected officials for how it operates. Last month, The Times reported that the association paid its chief executive, James Henwood Jr., more than $1 million in total compensation in 2014, the fifth straight year the organization reported financial losses.

State and county officials have ordered audits of the association. Officials at the association have defended the compensation practices as justified because of the complexity of the organization."
"8","Airbnb Is Changing The Way Tourists Hang Out  And Spend Their Cash  In Africa.txt",493,1118,68,"Airbnb Is Changing The Way Tourists Get To Know Africa

i toggle caption Courtesy of Godwin Ndosi Courtesy of Godwin Ndosi

When Godwin Ndosi first heard the word ""Airbnb,"" he said, ""Airbnb? Is that the name of a person?

Now it's the way he makes his living.

His introduction to the accommodations rental website came a year ago. Ndosi, a 23-year-old from Arusha, Tanzania, runs a safari business. A client had nowhere to stay after his hotel plans fell apart, so Ndosi invited him to spend the night at his pad.

When the client saw the place  a four-bedroom bungalow surrounded by palm trees, with a hammock swaying in a lush garden out back  he turned to Ndosi and said: ""This is beautiful. You could turn your house into a business. You know Airbnb?""

Ndosi did not know Airbnb, but ""when he left, I researched it and registered myself on the app,"" he says.

Since then, Ndosi has achieved ""superhost"" status  nearly 200 guests from countries including the Philippines, Malaysia, the U.S. and the U.K. have stayed with him and his parents, the ""Fun and Lovely Tanzanian Family."" His listing has a five-star rating on the site along with rave reviews that mention middle-of-the-night airport pickups and fresh milk from his cows with breakfast.

i toggle caption Anika Yvette/Courtesy of Godwin Ndosi Anika Yvette/Courtesy of Godwin Ndosi

Across Africa, people like Ndosi are earning money by renting out their homes on Airbnb, and in the process, they're encouraging global tourists to connect directly to the local economy.

Ndosi says that when he was growing up, folks in Arusha had a negative view of the tourists who came to explore Serengeti National Park or Mount Kilimanjaro. They brought little to the community because a handful of hotels had a monopoly on the industry, he says.

These accommodations push guests to eat at their restaurants, book their safari trips and shop at their souvenir stores. They may sell locally made handicrafts and clothing  but at a steep markup. A $5 shirt bought wholesale from a craftsman, for example, could be priced at $20 at the hotel shop.

""These people were coming and didn't buy anything from us. They just stayed in the lodges and took pictures of us,"" Ndosi says.

But, he says, ""We're in a different age now.""

Airbnb has upended the system. When the site launched in 2008, Africa was a minor part. That has changed, and now that more than 44,000 homes in Africa have been listed, the continent has become one of the company's fastest-growing regions. (South Africa, Morocco and Kenya top the continent's markets.)

Nicola D'Elia, Airbnb's first general manager for Africa and the Middle East, was hired from Facebook, where he helped with expansion in these regions. He says the goal is to have homes for rent absolutely everywhere.

""We want to bring tourists to parts of the continent that aren't covered by traditional accommodations  only places where you could stay in other people's homes,"" D'Elia says.

Making that vision a reality, says D'Elia, will ""help create a new generation of micro-entrepreneurs from local hosts to local businesses.""

Ndosi is proof that it's happening. When he registered for Airbnb, he had just graduated from college with a degree in wildlife tourism. He was applying for government jobs and graduate school and pursuing his passion of organizing small safari trips, but he worried about making an income. A tradition in his Maasai culture required him  the youngest in the family  to provide for his parents and look after their property, the bungalow.

The house has turned out to be the ideal business for him. His parents take up one room, and he rents out the other three. When all of the rooms are filled  he laughs as he shares this tidbit  he sleeps in a tent outside the house, in the garden.

Ndosi says his ""super friendly"" mom and dad, who help entertain the guests and answer questions about Tanzanian customs and culture, are key to his success. So is his pricing strategy: a stay with him costs just $15 a night, which includes Airbnb's 3 percent hosting fee.

""Everybody had a $20 price on Airbnb, and some even had $50 or $100,"" he says. ""But I never wanted to charge too much for a traveler to experience the local way of living.""

His low price and guest-first ethos seem to have paid off.

""Because of my reviews, people cry to stay with me  or tell me they'll pay double or triple to stay with me just for five days,"" he says.

Business was slow initially, because it's tough to snag Airbnb guests before anyone has put up a review. But after four months of waiting, Ndosi got his first guests: a trio of tourists from Malaysia, who'd decided to pick a place based on the host profile. They liked Ndosi's simple and short description on his page, so they went with him.

They meant to stay for one day but stuck around for 10. Later, they told Ndosi that after they came to Arusha and stayed with him and his parents, they ""found their family.""

His guests tend to create lasting bonds during their visits.

Ndosi shares a story of two of his Airbnb guests who visited Ambureni, a village outside Arusha where Ndosi's family is from. The Swiss couple was shocked by what they saw: poverty and a lack of infrastructure. They decided to help raise funds for the orphanage and a new hospital.

Ndosi says amazing people have stayed at his bungalow in the past year, but there's one odd thing he has noticed. He has never hosted a fellow Tanzanian.

""Locals don't want to stay with locals because they're already locals,"" Ndosi says.

Airbnb is on the case, D'Elia says. This year, it's working to get more people living in African countries to use Airbnb when they travel domestically, starting with one of Airbnb's biggest markets: South Africa. And it's looking at Africa-friendly payment solutions, like M-Pesa, a mobile payment app widely used across the continent.

Maybe that will make business even busier for Ndosi, who has earned enough cash through Airbnb to fund his entire graduate school education, which he hopes to start soon. The publicity has helped him gain more clients for his safari company. And he's investing in more rooms and accommodations across Arusha to expand his Airbnb business  something he now wants to do full time.

Last October, he finally heard back from one of the government jobs he applied for. He got the gig.

How did he respond?

""I had the guts to say no, I don't need your job,"" he says. ""I'm happy."""
"9","Al Jazeera America.txt",41,48,7,"Dismiss

Attention

The browser or device you are using is out of date. It has known security flaws and a limited feature set. You will not see all the features of some websites. Please update your browser. A list of the most popular browsers can be found below."
"10","Al Qaeda leaders made plans for peace deal with Mauritania_ documents.txt",261,465,19,"By Mark Hosenball

WASHINGTON (Reuters) - Al Qaeda leaders discussed a plan in 2010 to arrange a peace deal with the government of Mauritania, according to documents seized by U.S. Navy Seals when they raided Osama bin Laden's Pakistani hideout in 2011 and made public by the U.S. government on Tuesday.

The plan suggested that al Qaeda's North African affiliate, Al Qaeda in the Islamic Maghreb (AQIM), would promise ""not to carry out any military activity in Mauritania"", initially for a year, with the possibility of renewal.

In return, the proposal says, Mauritanian authorities would release all al Qaeda prisoners, commit not to attack AQIM, and pay it 10 to 20 million euros ($11 million-$22 million) a year to ""prevent the kidnapping of tourists"".

Senior U.S. intelligence officials familiar with the documents said they had no evidence that any such deal was ever done, or that the militant group had contacted anyone in Mauritania to make the proposal.

El Housseine Ould Nagi, legal counsel to Mauritania's president, denied that his government had had anything to do with such a deal.

""We have always been against paying ransoms and indirect financing of terrorism. Consequently, there has never been a secret accord between us and those people,"" he said.

Unlike its neighbors Mali and Algeria, Mauritania has enjoyed relative freedom from AQIM attacks in past years, especially since 2011. It has also faced international criticism for freeing jihadist prisoners, such as a former spokesman for the AQIM-linked group Ansar Dine. Others have escaped in opaque circumstances.

However, Mauritania also hosts a regional security body known as the Group of Five Sahel and is working with Western allies France and the United States to counter a growing Islamist insurgency in the region.

Olga Bogorad, an independent security analyst specializing in Islamist groups, said it was possible that Mauritania was playing a double game:

""On one side, it has a deal with AQIM and enjoys no terror attacks on its soil ... and on the other, it participates in counter-terrorism efforts to avoid criticism and probably to get support.""

AQIM, a spinoff of what was originally an Algerian-based Salafist militant group, made its first public appearance in January 2007 and rose to prominence mainly through its involvement in kidnapping Westerners for ransom in countries in the Sahel region including Mauritania, Niger and Mali.

In July 2012, the head of the U.S. military's Africa Command described AQIM as al Qaeda's wealthiest affiliate.

The al Qaeda document also says that a ""truce"" with Mauritania would allow AQIM to ""put the cadres in safe rear bases"" that it said would be available there while enabling the group to focus on Algeria.

(Reporting by Mark Hosenball in Washington, additional reporting by Kissima Diagana in Nouakchott and Emma Farge in Dakar; Editing by Kevin Liffey)"
