,Index,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation,countIndex
text1,1,text1,364,817,36,5/2/2016,business,http://feedproxy.google.com/~r/AtlanticBusinessChannel/~3/eTrk4Y1c1ss/,Why Financial Literacy Will Not Save America's Finances,-15,1,22,2,12,8,9,20,1
text2,2,text2,330,728,15,5/2/2016,business,http://feedproxy.google.com/~r/AtlanticBusinessChannel/~3/LMGPop-Y3PQ/,Puerto Ricos Biggest Default Yet,-12,4,15,6,6,7,9,10,1
text3,3,text3,170,295,9,5/2/2016,business,http://feedproxy.google.com/~r/AtlanticBusinessChannel/~3/MMqh7_KLpyY/,Does America Really Need More Entrepreneurship?,10,2,10,1,4,3,2,4,1
text4,4,text4,137,217,3,5/2/2016,business,http://feedproxy.google.com/~r/AtlanticBusinessChannel/~3/mf5SQbD26ww/,Obamas Proposal to 'Ban the Box' for Government Jobs,-7,3,11,2,2,6,3,2,1
text5,5,text5,270,515,16,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/q39G2pHiFXY/273303,Why Everybody Respects Professional But Nobody Likes Corporate,28,1,17,1,4,3,1,7,1
text6,6,text6,421,1073,44,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/xnw9E3Gggpc/271938,4 Ways to Survive Your Company's Rebrand,28,3,24,2,6,7,5,19,2
text7,7,text7,523,1348,39,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/sXTKYs7o54Y/274521,"No Money, No Problem: 17 Free Ways to Boost Your Website's SEO",32,4,23,2,7,5,4,13,1
text9,8,text9,331,604,14,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/eJ9uPFwHAtI/275017,'I Feel Like' Is the Newest Controversial Phrase You Should Avoid,11,7,12,7,6,7,5,7,1
text10,9,text10,112,174,4,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/7zbY68YfMiE/275010,"Cesar Millan: The Downs, Not the Ups, Drive You to Succeed",10,2,5,1,1,2,4,2,2
text12,10,text12,137,231,9,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/uenQvs6u38E/273468,3 Steps for Successful Salary Negotiations,14,3,13,1,7,3,4,6,1
text13,11,text13,371,854,30,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/v2reBSC5H4I/272772,8 Companies Making Payment Handling Easy,34,6,13,1,7,4,3,13,1
text14,12,text14,277,649,12,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/EIQadoapjRE/275022,Touting Bikinis on LinkedIn Is Inappropriate -- But Not For the Reasons You Might Think,10,4,10,3,7,4,3,8,3
text15,13,text15,242,453,7,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/uKuWEmmuoJM/275030,2016 Election Causing Many Small-Business Owners to Feel Down,15,3,9,1,8,6,3,6,1
text16,14,text16,535,1434,31,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/Eb5fSHDi2XY/274500,3 Team-Building Secrets of Successful Small Business Owners,61,3,33,3,16,4,3,22,1
text17,15,text17,115,200,4,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/_rynmx3qpoE/253364,Inspirational Quotes From 100 Famous Business Leaders (Infographic),8,0,2,0,2,1,2,5,1
text18,16,text18,229,409,8,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/q2JYbUDJsg4/275021,This Startup Offers Publicists a Better Alternative to Clogging Journalist's Inboxes,18,2,9,0,3,3,1,6,1
text19,17,text19,543,1189,31,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/Xu-0EKRTNQE/271863,3 Trends From the Leading-Edge of Workplace Design,61,0,20,1,10,9,3,18,2
text21,18,text21,191,367,7,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/GZUdKKgrkZA/275023,The Rock Releases an Alarm Clock to Get Jabronies Like You Out of Bed,16,0,12,0,10,2,0,4,1
text22,19,text22,464,980,40,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/4duacFel_e0/272165,"Companies, Clients and Colleges Are Googling You. Now What?",35,7,20,6,12,9,7,22,1
text23,20,text23,444,1117,43,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/s6vEMXBEdnY/252682,10 Things I Wish I'd Known When I Started,15,6,22,4,12,9,4,21,2
text24,21,text24,406,957,31,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/B5Sbyl8hiMw/274012,What About Offboarding?,47,4,25,2,14,4,7,21,1
text25,22,text25,505,1358,69,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/KTYuryoVbDo/274896,Professional Sports Icons Are Just Like Businesspeople,44,9,28,8,24,9,10,31,1
text26,23,text26,550,1272,50,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/SaBa3rlUGZU/272148,3 Ways to Simplify Your Company Culture and Build Trust,52,7,31,3,19,10,14,20,1
text27,24,text27,64,88,5,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/zNNwTooQksM/275038,Need Some Inspiration? Watch This 100-Year-Old Woman Set a World Record,6,2,2,2,2,1,3,1,1
text28,25,text28,358,744,29,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/z4mafgGqTnI/274938,"So, You Want to Be a What?",31,6,17,2,14,7,4,12,1
text29,26,text29,515,1208,39,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/HLnEvnuyxkk/274947,Why an Authentic Purpose Is the Best Differentiator,41,6,29,3,17,6,8,16,1
text30,27,text30,413,874,27,5/2/2016,business,http://feedproxy.google.com/~r/entrepreneur/latest/~3/mnG82zY_rH0/272155,3 Things to Learn From the Ultimate Entrepreneurs,37,6,19,2,14,2,5,22,1
text31,28,text31,531,1160,36,5/2/2016,business,http://feeds.harvardbusiness.org/~r/harvardbusiness/~3/OImxugXNo7g/mindfulness-can-improve-strategy-too,"Mindfulness Can Improve Strategy, Too",31,8,23,3,11,10,6,18,2
text32,29,text32,539,1167,38,5/2/2016,business,http://feeds.harvardbusiness.org/~r/harvardbusiness/~3/Iz_sdvlJCMo/why-lawyers-make-good-early-stage-startup-hires,Why Lawyers Make Good Early-Stage Startup Hires,41,9,40,5,18,16,10,27,2
text33,30,text33,430,900,34,5/2/2016,business,http://feeds.harvardbusiness.org/~r/harvardbusiness/~3/stBjAsVCGeM/to-recover-from-a-crisis-retell-your-companys-story,"To Recover from a Crisis, Retell Your Companys Story",8,12,26,5,11,15,12,15,2
text34,31,text34,279,619,14,5/2/2016,business,http://www.nytimes.com/2016/05/03/business/media/hulk-hogan-vs-gawker-round-2.html?partner=rss&emc=rss,"Hulk Hogan vs. Gawker, Round 2",-11,13,16,8,8,9,11,11,1
text38,32,text38,846,2565,53,4/7/2016,business,http://freakonomics.com/podcast/industry_ties_to_academic_research/,Tracking the Payday-Loan Industrys Ties to Academic Research,6,16,45,7,10,11,11,24,2
text40,33,text40,1580,6740,210,4/14/2016,business,http://freakonomics.com/podcast/mincome/,Is the World Ready for a Guaranteed Basic Income?,76,28,84,16,43,34,46,56,1
text42,34,text42,1538,7843,309,4/21/2016,business,http://freakonomics.com/podcast/how-to-be-more-productive/,How to Be More Productive,101,19,82,9,43,19,22,55,1
text44,35,text44,1706,8915,313,4/28/2016,business,http://freakonomics.com/podcast/peak/,How to Become Great at Just About Anything,140,14,88,12,58,18,25,60,1
text45,36,text45,153,259,11,4/28/2016,business,http://freakonomics.com/2016/04/28/welcome-freakonomics-radio-peak-project/,Calling All (Potential) Peak Performers!,14,0,6,0,4,1,2,2,2
