,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation,countIndex
text56,text56,826,2245,66,4/5/2016,gaming,http://www.pcgamer.com/how-a-failed-kickstarter-sparked-eve-onlines-second-largest-battle-ever/,How a failed Kickstarter sparked Eve Onlines second largest battle ever,-38,33,29,14,17,37,28,21,1
text34,text34,491,1298,40,4/25/2016,gaming,https://tagn.wordpress.com/2016/04/25/fast-time-with-boat-in-fade/,Fast Times with Boat in Fade,-9,15,19,7,9,16,12,17,1
text35,text35,269,568,18,4/26/2016,gaming,https://tagn.wordpress.com/2016/04/26/capitals-at-okagaiken/,Capitals at Okagaiken,-3,8,6,2,3,8,5,5,3
text71,text71,266,495,8,5/2/2016,gaming,http://arstechnica.com/gaming/2016/05/new-call-of-duty-is-the-first-game-ever-to-involve-shooting-dudes-in-space/,New Call of Duty is the (not) first game ever to involve shooting dudes in space,-3,13,10,4,5,15,9,6,4
text77,text77,13,13,1,4/30/2016,gaming,http://store.steampowered.com/news/21666/,Dota 2 Update - April 30th 2016,-3,1,1,1,1,0,1,1,16
text81,text81,26,31,1,5/2/2016,gaming,http://store.steampowered.com/news/21679/,Dota 2 Update - May 2nd 2016,-3,0,1,1,0,2,2,0,20
text42,text42,599,1773,6,4/5/2016,gaming,http://www.pcgamer.com/the-division-11-patch-notes-released/,The Division 1.1 patch notes released,-2,13,20,4,13,16,13,14,2
text58,text58,359,708,32,4/5/2016,gaming,http://www.pcgamer.com/petulance-and-privilege-in-crusader-kings-2/,Petulance and privilege in Crusader Kings 2,-2,10,18,5,8,16,12,10,1
text65,text65,139,221,4,5/2/2016,gaming,http://www.eurogamer.net/articles/2016-05-02-patrice-desilets-reveals-footage-from-1666-amsterdam,Patrice Dsilets reveals footage from 1666 Amsterdam,-2,2,1,1,0,2,3,5,11
text76,text76,52,73,4,4/30/2016,gaming,http://store.steampowered.com/news/21660/,Dota 2 Update - April 29th 2016,-2,1,0,0,0,1,1,3,15
text37,text37,352,810,22,4/27/2016,gaming,https://tagn.wordpress.com/2016/04/27/citadels-arrive-in-new-eden/,Citadels Arrive in New Eden,-1,8,8,1,5,10,3,13,4
text73,text73,40,47,4,4/29/2016,gaming,http://store.steampowered.com/news/21615/,"Daily Deal - Move or Die, 35% Off",-1,0,2,0,2,1,1,2,14
text4,text4,197,358,7,5/2/2016,gaming,http://www.gamespot.com/articles/overwatch-backstory-explained-further-in-new-video/1100-6439426/,"Overwatch Backstory Explained Further in New Video, Winston Is One Goofy Gorilla",0,2,5,0,3,2,0,4,1
text13,text13,0,0,0,5/2/2016,gaming,http://www.nintendolife.com/news/2016/05/humble_friends_of_nintendo_bundle_passes_usd1_million_and_100000_bundles_sold,"Humble Friends of Nintendo Bundle Passes $1 Million and 100,000 Bundles Sold",0,0,0,0,0,0,0,0,4
text14,text14,0,0,0,5/2/2016,gaming,http://www.nintendolife.com/news/2016/05/legendary_pokemon_zygarde_shiny_xerneas_and_shiny_yveltal_all_coming_to_the_us_as_gifts,"Legendary Pokmon Zygarde, Shiny Xerneas and Shiny Yveltal All Coming to the US as Gifts",0,0,0,0,0,0,0,0,5
text21,text21,172,281,10,5/2/2016,gaming,http://feedproxy.google.com/~r/SCEEBlog/~3/JhCTfyCrK_c/,"Escape the undead in Corridor Z, out May 3 on PS4, PS Vita",0,8,4,5,5,12,4,6,2
text40,text40,928,2894,91,4/30/2016,gaming,https://tagn.wordpress.com/2016/04/30/april-in-review-10/,April in Review,0,18,34,9,23,22,21,28,1
text57,text57,141,212,7,4/5/2016,gaming,http://www.pcgamer.com/dark-souls-3-speedruns-clock-in-under-90-minutes/,Dark Souls 3 speedruns clock in under 90 minutes,0,1,3,1,1,1,1,2,11
text64,text64,175,284,4,5/2/2016,gaming,http://www.eurogamer.net/articles/2016-05-02-mighty-no-9-finally-has-a-release-date-set-in-stone,Mighty No. 9 finally has a release date set in stone,0,2,4,1,3,3,3,3,10
text74,text74,5,7,1,4/29/2016,gaming,http://store.steampowered.com/news/21645/,"Now Available on Steam - N.E.R.O.: Nothing Ever Remains Obscure, 30% off!",0,0,0,0,0,0,0,0,15
text75,text75,5,7,1,4/29/2016,gaming,http://store.steampowered.com/news/21642/,"Now Available on Steam - SONAR Steam Edition, 30% off!",0,0,0,0,0,0,0,0,16
text83,text83,146,229,9,4/29/2016,gaming,http://indiegames.com/2016/04/bring_nuclear_disaster_with_yo.html,Bring Nuclear Disaster With Your Curiosity in MINUTEMAN,0,2,3,1,3,5,6,2,13
text3,text3,28,38,1,5/2/2016,gaming,http://www.gamespot.com/videos/gs-news-call-of-duty-infinite-war-gears-of-war-4-m/2300-6431971/,"GS News - Call of Duty: Infinite War, Gears of War 4, Mighty No. 9 Release Date",1,0,1,0,1,1,0,1,1
text6,text6,205,404,15,5/2/2016,gaming,http://www.gamespot.com/articles/call-of-duty-infinite-warfare-dev-says-story-inspi/1100-6439428/,"Call of Duty: Infinite Warfare Dev Says Story Inspiration Comes From War, Not Sci-Fi",1,2,5,1,3,8,5,6,2
text7,text7,28,38,1,5/2/2016,gaming,http://www.gamespot.com/videos/battleborn-review-in-progress/2300-6431975/,Battleborn Review in Progress,1,0,1,0,1,1,0,1,2
