,Text,Types,Tokens,Sentences,date,category,link,title,readability,readabilityGrade,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation,countIndex
text46,text46,545,1407,26,5/2/2016,tech,http://feeds.mashable.com/~r/Mashable/~3/I9cuC1me67s/,44 books on 44 presidents: The impeachment of a Jerk-in-Chief,35.81819652,19.07957597,-36,28,24,18,12,28,20,21,1
text73,text73,590,1531,44,5/2/2016,tech,http://www.wired.com/2016/05/craig-wright-privately-proved-hes-bitcoins-creator/,How Craig Wright Privately Proved Hes Bitcoins Creator,36.82187991,15.56495861,-24,8,36,7,5,14,11,15,1
text2,text2,408,906,16,5/2/2016,tech,http://arstechnica.com/tech-policy/2016/05/should-the-govt-be-able-to-force-you-to-open-your-phone-with-just-your-fingerprint/,Woman ordered to provide her fingerprint to unlock seized iPhone,22.64580083,22.2426055,-12,7,23,5,5,17,4,17,1
text44,text44,95,164,6,5/2/2016,tech,http://feeds.mashable.com/~r/Mashable/~3/98zpAjof7Bw/,"Little kid responds to Jack-in-the-box with shock, outrage",54.7,10.59833333,-11,1,1,2,5,2,1,6,1
text77,text77,380,914,24,5/3/2016,tech,http://www.wired.com/2016/05/eus-hard-line-privacy-environment-may-coming-end/,The EUs Hard Line on Privacy and the Environment May Be Coming to an End,33.56970179,16.8786596,-7,8,23,2,9,6,7,11,1
text81,text81,257,495,8,5/2/2016,tech,http://feedproxy.google.com/~r/readwriteweb/~3/96Bh_5V_FII/,Rise in IoT pushes government agencies to rethink security,4.835545775,25.81365023,-5,2,11,0,1,7,2,7,1
text47,text47,203,384,8,5/2/2016,tech,http://feeds.mashable.com/~r/Mashable/~3/IotxWzEuprg/,WhatsApp is blocked in Brazil &#8212; again,29.024375,19.148125,-4,5,8,2,1,4,2,6,1
text14,text14,49,64,4,2/9/2016,tech,http://scobleizer.com/my-blog-to-return-in-april/,My blog to return in April 2016,89.38786765,3.958970588,-2,1,0,1,0,1,1,1,1
text43,text43,420,905,14,5/2/2016,tech,http://feeds.mashable.com/~r/Mashable/~3/qXgWhYWaiUo/,"Bitcoin businesses want to stop talking about the creator, thank you very much",19.2275,23.92160334,-2,4,18,5,6,11,8,8,1
text78,text78,113,159,5,5/2/2016,tech,http://www.engadget.com/2016/05/02/soundcloud-go-uk-ireland/,"SoundCloud Go music streaming expands to the UK, Ireland",54.53642857,12.60857143,-2,0,1,0,0,0,1,1,1
text19,text19,565,1790,55,1/28/2014,tech,http://scobleizer.com/nokias-trapster-is-too-far-over-the-freaky-line/,Nokia's Trapster is too far over the freaky line,59.4481543,12.09964235,-1,4,26,3,10,16,8,14,1
text52,text52,290,571,7,5/3/2016,tech,http://feeds.mashable.com/~r/Mashable/~3/7HUEQbtGMGA/,Tim Cook: 'We're going to give you things you can't live without that you just don't know about today',12.59833333,28.75010582,-1,6,11,3,6,5,8,12,1
text27,text27,61,82,2,8/3/2013,tech,http://scobleizer.com/tim-draper-on-education-and-money/,"Tim Draper on education, money, and entrepreneurship",47.82652985,14.9108209,0,1,2,0,1,0,0,1,1
text30,text30,32,38,1,4/18/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/8AaNnNbWcaY/four-short-links-18-april-2016.html,Four short links: 18 April 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,1
text31,text31,32,38,1,4/18/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/h1RQ1L53GSk/four-short-links-is-moving.html,Four Short Links is moving,55.125,13.02333333,0,0,1,0,0,0,0,1,2
text32,text32,32,38,1,4/19/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/bztbAg_QmbA/four-short-links-19-april-2016.html,Four short links: 19 April 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,3
text33,text33,32,38,1,4/20/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/QeThB4PlHQI/four-short-links-20-april-2016.html,Four short links: 20 April 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,4
text34,text34,32,38,1,4/21/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/fGkfGY5iLdo/four-short-links-21-april-2016.html,Four short links: 21 April 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,5
text35,text35,32,38,1,4/22/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/oMZzzEp9omw/four-short-links-22-april-2016.html,Four short links: 22 April 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,6
text36,text36,32,38,1,4/25/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/u2SroofdiTw/four-short-links-25-april-2016.html,Four short links: 25 April 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,7
text37,text37,32,38,1,4/26/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/ffDsXM9-l7w/four-short-links-26-april-2016.html,Four short links: 26 April 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,8
text38,text38,32,38,1,4/27/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/wMlJk4IJ6i8/four-short-links-27-april-2016.html,Four short links: 27 April 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,9
text39,text39,32,38,1,4/28/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/FYXlUWqrLHs/four-short-links-28-april-2016.html,Four short links: 28 April 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,10
text40,text40,32,38,1,4/29/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/y48NA60qk0I/four-short-links-29-april-2016.html,Four short links: 29 April 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,11
text41,text41,32,38,1,5/2/2016,tech,http://feedproxy.google.com/~r/oreilly/radar/atom/~3/XaHpdEVFoiw/four-short-links-2-may-2016.html,Four short links: 2 May 2016,55.125,13.02333333,0,0,1,0,0,0,0,1,12
text76,text76,731,1895,49,5/2/2016,tech,http://www.wired.com/2016/05/us-finally-taking-methane-hidden-climate-change-villain/,"The US Is Finally Taking on Methane, Climate Changes Hidden Villain",27.53126558,17.72892754,0,14,35,8,12,19,9,23,1
text10,text10,151,239,3,3/17/2016,tech,https://www.yahoo.com/tech/learn-survive-plane-crash-prepare-175700359.html?src=rss,Learn how to survive a plane crash with the Prepare for Impact app,0.981363636,29.51868687,1,0,2,0,1,2,1,2,1
text26,text26,107,160,4,8/3/2013,tech,http://scobleizer.com/how-will-google-glass-change-journalism/,How will Google Glass change journalism?,30.92916958,17.82662587,2,0,4,0,1,1,1,2,1
text56,text56,195,530,6,5/2/2016,tech,http://feeds.mashable.com/~r/Mashable/~3/SOsXFgdeRZs/,All the people who dressed like robots at the Met Gala,-0.280984848,27.87295455,2,1,3,1,4,1,2,4,1
text66,text66,166,287,5,5/2/2016,tech,http://recode.net/2016/05/02/amazon-sports-video-delorenzo/,"Amazon didn't get the NFL deal, but it's getting more serious about sports",34.42678661,20.33233473,2,1,6,1,3,3,1,4,1
text71,text71,132,242,10,5/2/2016,tech,http://feeds.gawker.com/~r/lifehacker/vip/~3/GO21RAM0VEg/the-rock-clock-alarm-app-keeps-you-motivated-and-ditche-1774332308,The Rock Clock Alarm App Keeps You Motivated and Ditches the Snooze Button,70.33788462,8.292948718,2,1,1,1,0,1,0,3,1
text74,text74,119,186,6,5/2/2016,tech,http://www.wired.com/2016/05/call-of-duty-infinite-warfare/,Call of Duty Blasts Off to Space In Infinite Warfare,45.75238739,13.00567568,2,1,4,0,3,1,2,3,1
text13,text13,351,1080,23,5/1/2016,tech,http://gigaom.com/2016/05/01/busybot-a-parasitic-task-management-tool-for-slack/,Busybot: A Parasitic Task Management Tool For Slack,32.50422101,18.05788849,3,4,11,0,4,6,3,3,1
text17,text17,59,91,2,8/7/2014,tech,http://scobleizer.com/ive-completely-moved-to-social-media/,Ive completely moved to social media,46.56384328,15.0869403,3,0,1,0,1,0,0,1,1
text4,text4,298,695,16,5/2/2016,tech,http://arstechnica.com/science/2016/05/big-weight-loss-can-slow-metabolism-long-term-make-it-harder-to-stay-slim/,"Former Biggest Loser contestants fight slow metabolisms, weight gain",39.94717567,16.70853593,4,3,10,3,5,7,8,11,1
text22,text22,103,141,7,8/27/2013,tech,http://scobleizer.com/come-meet-the-disrupters-like-this-guy-and-enter-our-google-glass-dev-contest-win-10000-cash/,"Come meet the disrupters, like this guy (and enter our Google Glass dev contest, win $10,000 cash)",60.43923077,8.981562882,4,4,2,1,3,3,2,6,1
text25,text25,82,120,3,8/3/2013,tech,http://scobleizer.com/my-writeup-of-moto-x-over-on-guest-post-on-the-next-web/,"My writeup of Moto X, over on guest post on The Next Web",59.23581761,13.77490566,4,1,0,1,1,1,1,1,1
text28,text28,51,72,3,8/3/2013,tech,http://scobleizer.com/can-bret-taylor-take-on-microsoft-word/,Can Bret Taylor take on Microsoft Word?,77.965,7.353333333,4,1,2,0,0,1,0,0,1
text63,text63,122,196,5,5/2/2016,tech,http://www.theverge.com/circuitbreaker/2016/5/2/11571562/megaproccessor-james-newman-build,Wow your dinner guests with a massive Megaprocessor,43.39921854,14.7085298,4,1,4,0,2,2,0,3,1
text69,text69,52,60,2,5/2/2016,tech,http://feeds.gawker.com/~r/lifehacker/vip/~3/QSXRtXwIUw8/remains-of-the-day-hulu-reportedly-developing-internet-1774330933,Remains of the Day: Hulu Reportedly Developing Internet TV Service,42.15653846,13.83846154,4,0,2,0,1,0,0,1,1
text12,text12,174,341,9,4/29/2016,tech,http://gigaom.com/2016/04/29/a-new-era-at-google-hardware-moving-to-the-foreground/,A  new era at Google? Hardware moving to the foreground?,44.40250203,14.62931873,5,0,3,1,1,1,0,3,1
text24,text24,105,150,10,8/3/2013,tech,http://scobleizer.com/the-kinds-of-innovation-google-glass-will-bring/,The kinds of innovation Google Glass will bring,72.01608955,6.543462687,5,0,2,0,2,0,0,3,1
text45,text45,76,107,1,5/2/2016,tech,http://feeds.mashable.com/~r/Mashable/~3/GnEoCN0rcLA/,Teen high on anesthesia is having the best time ever,0.717857143,34.02714286,5,0,2,1,1,1,2,1,1
text5,text5,103,145,4,5/2/2016,tech,http://feeds.gawker.com/~r/gizmodo/full/~3/G7wMd1yHHaE/these-drones-dancing-in-the-air-against-a-mountain-look-1774340050,These Drones Dancing in the Air Against a Mountain Look Like Real Life Space Invaders,52.61545,13.6839,6,1,2,0,2,2,1,2,1
text54,text54,203,357,5,5/2/2016,tech,http://feeds.mashable.com/~r/Mashable/~3/6mgzb0dcDVs/,Staff and faculty can now be armed on public college campuses in Tennessee,1.271110368,27.93802007,6,5,14,1,4,6,1,6,1
