,Index,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation
text1,1,text1,305,614,7,5/2/2016,sports,http://www.bbc.co.uk/sport/0/football/36126868,Burnley 1-0 Queens Park Rangers,27,8,12,1,6,4,4,13
text2,2,text2,140,278,1,5/2/2016,sports,http://www.bbc.co.uk/sport/0/golf/36188089,Stuard wins first PGA Tour title,3,3,4,1,1,3,2,1
text3,3,text3,213,432,1,5/2/2016,sports,http://www.bbc.co.uk/sport/0/cricket/36183914,Root gets golden duck against Notts,-4,3,3,1,0,1,3,1
text4,4,text4,304,707,8,5/2/2016,sports,http://www.bbc.co.uk/sport/0/cricket/36184043,Cook and Westley make tons at Worcester,15,2,12,1,5,2,4,10
text5,5,text5,255,464,3,5/2/2016,sports,http://www.bbc.co.uk/sport/0/cricket/36184012,Stokes shows bowling form at the Oval,-2,3,5,1,4,2,4,4
text6,6,text6,534,1462,6,5/2/2016,sports,http://www.bbc.co.uk/sport/0/football/36126014,Bayern Munich v Atletico Madrid,8,13,10,4,11,10,10,15
text7,7,text7,256,506,1,5/2/2016,sports,http://www.bbc.co.uk/news/business-36181320#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa,Leicester 'can make 150m from PL title',31,2,13,2,5,1,1,10
text8,8,text8,372,783,19,5/2/2016,sports,http://www.bbc.co.uk/sport/0/football/36126882,Dundee 2-1 Dundee United,-6,12,16,4,9,13,14,10
text9,9,text9,139,223,1,5/2/2016,sports,http://www.bbc.co.uk/sport/0/boxing/36188348,Joshua could fight at 'Bird's Nest',8,1,7,1,3,2,1,7
text10,10,text10,81,113,1,5/2/2016,sports,http://www.bbc.co.uk/sport/0/rugby-union/36188680,Seventh operation 'devastates' Coombs,-2,0,1,0,0,3,2,0
text11,11,text11,239,462,4,5/2/2016,sports,http://www.bbc.co.uk/sport/0/disability-sport/36186767,Three golds for GB at IPC Euros,43,3,9,2,7,2,2,7
text12,12,text12,446,1289,11,5/3/2016,sports,http://www.bbc.co.uk/sport/0/snooker/36188181,Selby enjoys 'best night of life',33,6,14,5,14,3,10,15
text13,13,text13,19,29,3,4/13/2016,sports,https://westhesportsguy.com/2016/04/12/2016-stanley-cup-playoffs-preview/,2016 Stanley Cup Playoffs Preview,3,0,0,0,0,0,0,0
text14,14,text14,19,29,3,4/3/2016,sports,https://westhesportsguy.com/2016/04/03/2016-mlb-world-series-awards-predictions/,2016 MLB World Series & Awards Predictions,3,0,0,0,0,0,0,0
text15,15,text15,374,1123,79,4/3/2016,sports,https://westhesportsguy.com/2016/04/03/national-league-east-7/,National League East,4,0,9,1,2,3,1,7
text16,16,text16,364,1151,81,4/3/2016,sports,https://westhesportsguy.com/2016/04/03/american-league-east-7/,American League East,1,2,7,0,5,4,3,6
text17,17,text17,369,1127,77,4/3/2016,sports,https://westhesportsguy.com/2016/04/03/national-league-central-7/,National League Central,24,1,9,1,4,2,0,4
text18,18,text18,369,1176,81,4/3/2016,sports,https://westhesportsguy.com/2016/04/03/american-league-central-7/,American League Central,2,1,7,2,5,3,0,8
text19,19,text19,375,1143,77,4/3/2016,sports,https://westhesportsguy.com/2016/04/03/national-league-west-7/,National League West,1,5,7,2,4,7,6,8
text20,20,text20,380,1191,83,4/3/2016,sports,https://westhesportsguy.com/2016/04/03/american-league-west-7/,American League West,5,3,8,2,2,5,4,8
text21,21,text21,253,473,17,3/17/2016,sports,https://westhesportsguy.com/2016/03/17/childish/,Childish,11,1,11,1,6,3,2,10
text22,22,text22,231,491,17,3/8/2016,sports,https://westhesportsguy.com/2016/03/08/so-long-no-18/,So Long No. 18,32,2,9,1,8,1,1,15
text23,23,text23,397,959,26,4/14/2016,sports,https://westhesportsguy.com/2016/04/14/the-black-mamba/,The Black Mamba,30,9,15,4,8,10,4,16
text24,24,text24,19,29,3,4/16/2016,sports,https://westhesportsguy.com/2016/04/16/2016-nba-playoffs-preview/,2016 NBA Playoffs Preview,3,0,0,0,0,0,0,0
text25,25,text25,19,29,3,4/28/2016,sports,https://westhesportsguy.com/2016/04/28/stanley-cup-semifinals-preview-2/,Stanley Cup Semifinals Preview,3,0,0,0,0,0,0,0
text26,26,text26,19,29,3,5/2/2016,sports,https://westhesportsguy.com/2016/05/02/nba-semifinals-preview-6/,NBA Semifinals Preview,3,0,0,0,0,0,0,0
text27,27,text27,90,146,2,3/16/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/olOp70uP_j4/,2016 SXSW Free Music Torrents & Radio,0,0,1,0,2,0,1,0
text28,28,text28,118,192,9,3/16/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/0Hoat9_Q9wQ/,"Pinball Is A Game Of Skill, Not Chance",-5,2,3,3,2,3,1,4
